,,type,temperature,flag,ref_num
Nd2MgIrO6,323,Néel,12.0,False,1
MnB,324,Néel,52.5,False,2
Tm6Cr4Al43,325,Néel,2.0,False,3
BaBi2Nb2O9,326,Curie,443.0,False,2
"Ce2,3,6,7,10,11,14,15",327,Néel,180.0,False,1
Y2Fe14Si3,328,Curie,190.0,False,1
Co2RuSi,329,Curie,491.0,False,1
Ba5NdTi3Nb7O30,330,Curie,373.0,False,1
DyMn6Ge6,331,Néel,422.0,False,3
ErGa3,332,Néel,2.8333333333333335,False,6
CeCo9Ge4,333,Néel,12.0,False,1
DyIrGe2,334,Néel,4.0,False,3
SmFe9Co2Ti,335,Curie,729.0,False,1
Zr8h,336,Curie,323.0,False,1
Li2FeSiO2,337,Néel,25.0,False,1
YFe11TiH,338,Curie,596.0,False,1
PdNi,339,Curie,100.0,False,1
ZrIrSi,340,Curie,2.0,False,1
Fe80P8C9B3,341,Curie,612.0,False,1
Ge,342,Curie,300.06451612903226,False,31
HoNiSn,343,Néel,2.5,False,6
Gd3Si4,344,Néel,20.0,False,1
Na2RuO4,345,Néel,35.0,False,2
LiNiO2,346,Néel,20.0,False,1
Sm7Rh3,347,Néel,67.0,False,6
Kaštil,348,Curie,45.0,False,2
AgNbO3,349,Curie,340.0,False,1
TlCrS2,350,Curie,97.5,False,2
URhGa5,351,Néel,47.0,False,1
Ni77Cr15Fe8,352,Curie,135.0,False,2
Sm2Fe16Ga,353,Curie,242.5,False,2
Dy3Co8Sn4,354,Curie,80.0,False,1
Ni53Mn22Ga25,355,Curie,278.0,False,2
Fe74Cu1Cr2Zr1Si13B9,356,Curie,573.0,False,1
Tm,357,Néel,43.166666666666664,False,30
EuAl2,358,Néel,27.0,False,2
Er2RhSi3,359,Néel,5.0,False,1
Ba2NaNb5O15,360,Curie,853.0,False,2
AsFe,361,Néel,77.0,False,1
Ba2CaReO6,362,Néel,15.0,False,1
Tb3Ni8Sn4,363,Néel,12.0,False,2
DyCo5,364,Curie,973.0,False,2
LiNbO3,365,Curie,1371.0,False,36
Li5Mn12Fe4O28,366,Curie,276.0,False,1
Sr3NaRuO6,367,Néel,70.0,False,2
H2Te2,368,Curie,10.0,False,1
Co05Cu05MnSb,369,Curie,425.0,False,2
TbNi4B,370,Curie,18.0,False,1
RNiO3,371,Néel,150.0,False,6
Ca3Co2O6,372,Curie,23.75,False,16
NdSb,373,Néel,16.0,False,2
LaRu2,374,Curie,3.0,False,1
5TiC,375,Curie,301.5,False,2
Nd6Fe13Cu,376,Néel,420.0,False,2
Undoped,377,Curie,534.6666666666666,False,6
Pz24,378,Curie,603.0,False,2
MeOH,379,Curie,22.0,False,2
CuGeO3,380,Néel,23.25,False,4
Sm3Ag4Sn4,381,Néel,12.5,False,12
CuSe2O5,382,Néel,12.0,False,4
Cr3Se4,383,Néel,80.0,False,2
CHFBrCl,384,Curie,10.0,False,1
Hf2Co11,385,Curie,973.0,False,1
GdCuAl,386,Curie,83.0,False,2
CaMnFeGe2,387,Curie,242.5,False,4
Mn23Dy6,388,Curie,443.0,False,1
Co2MnAl,389,Curie,483.6666666666667,False,3
Zmax,390,Curie,573.0,False,2
DyIrSi,391,Néel,7.0,False,1
ZnS,392,Curie,437.0,False,6
Ne2Fe14B,393,Curie,273.0,False,1
CePt,394,Curie,6.0,False,2
FeVTiSi,395,Curie,1293.0,False,1
HoNiIn,396,Néel,14.5,False,2
CeFe5,397,Curie,300.0,False,1
Eu3O4,398,Curie,6.2,False,5
Y2Mn2O7,399,Curie,15.0,False,1
LFPbO,400,Curie,997.0,False,1
Tb2Fe10Ga7,401,Curie,400.0,False,1
EuAgMg,402,Curie,22.0,False,1
NdRhSn,403,Néel,5.5,False,4
CeFe11Mo,404,Curie,421.0,False,1
DyNiAl,405,Curie,29.272727272727273,False,11
Co2FeAl,406,Curie,1100.0,False,1
NdAl2,407,Curie,76.0,False,1
MoF3,408,Néel,185.0,False,1
EuGd2S4,409,Curie,6.0,False,3
La3Rh2Ga2,410,Curie,2.0,False,2
PrCrSb3,411,Curie,147.0,False,1
Sm6Fe13Sn,412,Curie,400.0,False,1
Sr4Fe4O11,413,Néel,231.0,False,2
Fe62Nb8B30,414,Curie,518.0,False,1
Pr3Co29Si4B10,415,Curie,98.5,False,4
Gr50Sps50,416,Néel,2.0,False,1
CePdAl,417,Néel,2.0,False,7
U2Ni2In,418,Néel,30.0,False,3
Ce2Rh3Ge,419,Néel,7.0,False,2
NaSr2Nb5O15lead,420,Curie,543.0,False,1
ZnCr2Se4,421,Néel,30.823529411764707,False,17
Co74Cr6Si6B14,422,Curie,643.0,False,1
Sc,423,Curie,539.5,False,8
"9,399",424,Curie,358.0,False,1
Sr2CoWO6,425,Néel,24.0,False,2
Ni55Mn20Ga25,426,Curie,298.0,False,2
YbMnO3,427,Néel,149.33333333333334,False,3
HoCo2Si2,428,Néel,1.0,False,1
DyFeAl,429,Curie,128.0,False,5
Gd60Co25Al15,430,Curie,124.0,False,1
Cr2O3,431,Néel,300.56666666666666,False,60
Fe90Zr10,432,Curie,236.44444444444446,False,9
Fe80Zr10B10,433,Curie,450.0,False,1
Fe76Co2Si13B9,434,Curie,670.0,False,1
A94Nb4Gd2,435,Curie,624.0,False,1
Gd90Ga10,436,Curie,286.5,False,4
Fe2NiSb,437,Curie,685.0,False,2
Dy3Co29Si4B10,438,Curie,99.5,False,4
GdZrSb,439,Curie,20.0,False,10
Fe65Co20B15,440,Curie,520.0,False,1
CePd5Al2,441,Néel,2.0,False,2
SmNi3CoSi,442,Curie,46.0,False,1
KFeS2,443,Néel,318.0,False,4
Pm,444,Curie,275.6,False,20
EuBa,445,Curie,280.0,False,2
BiVO4,446,Curie,1100.0,False,1
TmNi2B2C,447,Néel,6.166666666666667,False,6
Yb14MnSb11,448,Curie,53.0,False,1
EuCu2Si2,449,Néel,10.0,False,1
NH4H2AsO4,450,Curie,161.0,False,1
Pr5AgSn3,451,Néel,3.0,False,2
LiMn2O4,452,Néel,130.66666666666666,False,3
LaY2Ni9,453,Curie,15.0,False,1
NiFe2O4,454,Curie,766.1463414634146,False,41
TbMnO3,455,Néel,80.0,False,1
ErMn6Sn6,456,Néel,233.23076923076923,False,13
20BCZTSn,457,Curie,308.0,False,2
YFe4Al8,458,Néel,180.0,False,3
Sr3Fe2O,459,Néel,120.0,False,2
MnF2,460,Néel,82.25,False,12
Er6Ta4Al43,461,Néel,2.0,False,3
Co71Fe1Mo1Mn4Si14B9,462,Curie,638.0,False,1
Co52Fe26Ni22,463,Curie,1000.0,False,2
DyCuSn,464,Néel,5.0,False,2
Gd3Ni6Si2,465,Néel,10.5,False,4
BaMn2Bi2,466,Néel,400.0,False,1
NaO2,467,Néel,22.333333333333332,False,6
Ho6Ti4Al43,468,Néel,3.0,False,3
Tm5Ni2In4,469,Néel,4.0,False,3
DyAgSn,470,Néel,9.0,False,2
ZnMnO3,471,Curie,300.0,False,2
Gd2PdSi3,472,Néel,21.0,False,2
Bi4O4S3,473,Curie,10.0,False,1
Yttrium,474,Curie,88.0,False,2
Fe23Y6,475,Curie,274.0,False,10
Y2Fe17,476,Curie,303.53333333333336,False,15
EuCuSn,477,Néel,13.0,False,3
PSMO3Ho10,478,Curie,145.0,False,1
Fe88Zr7B4Cu1,479,Curie,291.0,False,2
La3Ni4Ge4,480,Curie,0.0,False,1
Sc6ReO12,481,Curie,9.5,False,4
Tm6Mo4Al43,482,Néel,2.0,False,3
Multiferroics,483,Néel,640.0,False,1
Cr2O5,484,Néel,308.0,False,2
Ce2NiGa12,485,Néel,10.0,False,2
Co76Mo18Ni6,486,Curie,1023.0,False,3
Fe65Co35,487,Curie,1211.5,False,2
Trh,488,Curie,453.0,False,1
LaCeCo16Ti,489,Curie,566.0,False,1
Nd2BaNiO5,490,Néel,48.0,False,2
Pb2Ba2BiFe4ScO13,491,Néel,350.0,False,2
ErNi2Si2,492,Néel,3.0,False,1
LaAu2Ge2,493,Néel,13.0,False,1
LaRu2As2,494,Curie,3.6666666666666665,False,3
Er3Co29Si4B10,495,Curie,188.0,False,1
"1,350",496,Curie,334.0,False,1
EuAuZn,497,Curie,51.0,False,1
Fe88Zr6B6,498,Curie,332.0,False,2
DyAuIn,499,Néel,11.0,False,3
CeMnCuSi2,500,Curie,120.0,False,3
HoRhSn,501,Curie,6.0,False,6
"LaFe11,6Si1,4",502,Curie,190.0,False,1
As,503,Curie,0.0,False,1
Ru2MnGe,504,Néel,307.42857142857144,False,7
DyMn2,505,Curie,45.0,False,2
Eu5Ga9,506,Néel,25.0,False,1
Y3Fe3Al2O12,507,Curie,225.0,False,1
K3picene,508,Curie,18.0,False,1
Mn2PdIn,509,Curie,0.0,False,1
Ce2Pd2In,510,Curie,4.0,False,2
BaCe2O4,511,Néel,157.0,False,4
MgFe2O4,512,Curie,594.125,False,16
ErNi5,513,Curie,9.0,False,2
Er3Cu4Ge4,514,Néel,4.25,False,4
FeNi3,515,Curie,838.6666666666666,False,3
Gd2Y5Pd3,516,Curie,112.5,False,2
UNiGe,517,Néel,55.0,False,7
Coated,518,Curie,593.0,False,2
Nd2Fe14Ga3,519,Curie,605.0,False,1
Y6Fe72B22,520,Curie,551.0,False,1
NaFeO2,521,Néel,723.0,False,4
CuFe2S3,522,Curie,588.0,False,1
Ru2MnSb,523,Néel,195.0,False,3
Sc5Ge3,524,Néel,134.0,False,8
CaCu3Ti4O12,525,Curie,582.6666666666666,False,3
IrN2,526,Néel,273.0,False,1
TMs,527,Néel,219.5,False,4
MnSb2Se4,528,Néel,45.333333333333336,False,3
Fe76P10B11Nb2Cr1,529,Curie,554.0,False,1
Pt3Mn,530,Curie,453.0,False,1
HCl,531,Néel,25.0,False,1
Mn2PtIn,532,Curie,0.0,False,1
Sr3Sb2CuO9,533,Curie,30.0,False,1
CePd2Al2Ga,534,Curie,1.0,False,1
Fe84Zr6B10,535,Curie,392.0,False,2
CeRu2Si2,536,Curie,7.0,False,1
MgCNi3,537,Curie,7.5,False,2
DyFe6Al6,538,Curie,340.0,False,2
Cr2V4O13,539,Néel,10.0,False,2
Sr2CoO4,540,Curie,247.5,False,4
Ba2Bi4Ti5O18,541,Curie,597.5,False,6
Baran,542,Néel,8.5,False,2
Dy7Rh3,543,Curie,41.0,False,2
BaSm2O4,544,Néel,264.5,False,4
FeCr2S4,545,Curie,161.84615384615384,False,13
CeRh2Sb2,546,Néel,22.0,False,1
NdNi4B,547,Curie,11.25,False,4
Nb3Ga,548,Curie,20.0,False,1
TbCo2,549,Curie,215.23076923076923,False,13
GdAuCd,550,Néel,73.5,False,6
NdCu2Sn2,551,Néel,3.0,False,7
Ni1,552,Néel,523.0,False,1
Gd60Co40,553,Curie,179.0,False,1
ZnMn2O4,554,Néel,76.66666666666667,False,3
Ni54Fe19Ga27,555,Curie,309.0,False,2
Ce3NiGe2,556,Néel,5.333333333333333,False,3
Er3Ni2,557,Curie,17.0,False,1
40CrMnMo7,558,Curie,1029.0,False,1
Dy6Mn23,559,Curie,443.0,False,2
SnO,560,Curie,850.0,False,1
Fe25Cu75,561,Curie,616.5,False,4
PrBiGe,562,Néel,10.0,False,3
2LFh,563,Curie,893.3333333333334,False,3
KBa2Nb5O15,564,Curie,665.0,False,1
Co2Z,565,Curie,692.0,False,1
Ce5Ni2Si3,566,Néel,5.285714285714286,False,7
Cd2Mn3O8,567,Néel,10.0,False,2
Nd2CuGe6,568,Néel,9.0,False,3
LiCuVO4,569,Néel,2.3333333333333335,False,3
Sr2LnRuO6,570,Néel,34.0,False,1
Ni38Fe12Mn30Ga20,571,Curie,350.0,False,1
Gd65Fe20Al10B5,572,Curie,197.0,False,1
Ni40Fe10Cr,573,Curie,524.0,False,1
GdFe6Al6,574,Curie,334.0,False,2
Fe77Cr8B15,575,Curie,1.0,False,1
MnPc,576,Curie,8.0,False,1
GdIrIn5,577,Néel,42.0,False,3
GdPd3,578,Néel,6.0,False,2
TmZn,579,Curie,58.75,False,4
Gd60Co20Al20,580,Curie,112.0,False,1
Fe79Nb7B14,581,Curie,186.5,False,2
BaIr2P2,582,Curie,2.0,False,2
CaCu3Mn4O12,583,Curie,179.5,False,2
AlNiCo,584,Curie,1060.5,False,2
MnGeP2,585,Curie,310.6666666666667,False,3
Sps100,586,Néel,6.0,False,2
TiO6,587,Curie,768.0,False,1
Sr2FeWO6,588,Néel,37.166666666666664,False,6
PrMnO3,589,Néel,84.28571428571429,False,7
CsFe2Se2,590,Curie,27.0,False,1
GdPd2Si,591,Curie,17.0,False,1
LnFeAsO,592,Curie,55.0,False,2
RMn2O5,593,Néel,39.0,False,1
LiVSi2O6,594,Néel,22.0,False,2
