,,Type,Normalised Value,flag
YBa2Cu3OY,380,Curie,88.0,False
LiTiSi2O6,381,Néel,210.0,False
LaPrCaBCO,382,Curie,78.0,False
Ho2NiMnO6,383,Curie,85.0,False
RMn2O5,384,Néel,39.0,False
TlFeO3,385,Néel,560.0,False
Bi3TiTaO9,386,Curie,1073.0,False
Sr3NiFeMoO3,387,Néel,49.0,False
LaCuOSe,388,Curie,26.0,False
TiO2,389,Curie,412.375,False
Sr2CrO4,390,Néel,3.0,False
NdCrO,391,Néel,219.0,False
DyMn2O5,392,Néel,40.285714285714285,False
ZFLaO53,393,Néel,42.0,False
KBiFe2O5,394,Néel,543.0,False
Tb2NiMnO6,395,Curie,110.0,False
BaTiO3,396,Curie,438.3626373626374,False
Ni2V2O7,397,Curie,11.0,False
NaO2,398,Néel,22.333333333333332,False
BiMnFe2O6,399,Néel,212.0,False
YBa2Cu3O6,400,Néel,338.2,False
FexO,401,Néel,213.33333333333334,False
Oxynitride,402,Curie,12.0,False
Sr2Co2O5,403,Néel,570.0,False
FeNbO4,404,Néel,149.0,False
Sm2NiMnO6,405,Curie,138.33333333333334,False
Sr2ScOsO6,406,Néel,92.0,False
LiCuVO4,407,Néel,2.3333333333333335,False
Na2SO4,408,Néel,141.75,False
CaBi4Ti4O15,409,Curie,1034.7857142857142,False
KMnO4,410,Curie,73.0,False
TeNiO,411,Néel,130.0,False
CuSe2O5,412,Néel,12.0,False
LaFeO3,413,Néel,685.4146341463414,False
LiBiO2,414,Curie,526.25,False
MnCo2O4,415,Curie,186.16666666666666,False
CoTa2O6,416,Néel,4.333333333333333,False
CuRh2O4,417,Néel,21.0,False
Li2O,418,Curie,525.0,False
NiCo2O4,419,Curie,673.0,False
Sr3Fe2TeO9,420,Néel,360.0,False
La2BaCuO5,421,Curie,5.0,False
BaMnO3,422,Néel,53.0,False
NiSb2O6,423,Néel,7.333333333333333,False
NdCrTiO5,424,Néel,18.0,False
LiNO,425,Néel,25.0,False
PrOFeAs,426,Néel,104.22222222222223,False
Cr2V4O13,427,Néel,10.0,False
Sr2CrReO6,428,Curie,625.8888888888889,False
Rh2O3,429,Néel,311.0,False
CuO2,430,Curie,97.0,False
PrCrO3,431,Néel,232.0,False
LaOFeP,432,Néel,115.4,False
GaFeO3,433,Curie,233.41666666666666,False
NaBa2Nb5O15,434,Curie,313.0,False
NbxO3,435,Curie,633.0,False
Sr2YRuO6,436,Néel,26.0,False
Ba3MnNb2O9,437,Néel,3.0,False
Sr3CrFeMoO9,438,Curie,385.0,False
La2Ti2O7,439,Curie,1599.6666666666667,False
Li2CuO2,440,Néel,8.666666666666666,False
Rb2RuO4,441,Néel,9.0,False
RuSr2RCu2O8,442,Curie,50.0,False
Ba2KNb5O15,443,Curie,665.0,False
TiO6,444,Curie,768.0,False
LaOBiSe2,445,Curie,5.5,False
Sr2KNb5O15,446,Curie,429.0,False
Tl2Ba2CaCu2Ox,447,Curie,90.0,False
NaCu2O2,448,Néel,12.0,False
LiMnO2,449,Néel,261.0,False
Bi2O3,450,Curie,311.85714285714283,False
LiFeP2O7,451,Néel,27.0,False
La2MnIrO6,452,Curie,130.0,False
Li6Mn13Fe2O28,453,Curie,276.0,False
La3Ni4P4O2,454,Curie,3.0,False
MnCr2O4,455,Curie,40.8,False
CaMn2O4,456,Néel,220.0,False
Sr2HoRuO6,457,Néel,36.0,False
Ca2InOsO6,458,Néel,14.0,False
DyBa2Cu3O7,459,Néel,0.0,False
Rb2Cr8O16,460,Curie,295.0,False
CoRe2O6,461,Curie,42.5,False
LaEuSiO3N,462,Curie,3.0,False
CuGeO3,463,Néel,23.25,False
LiNiPO4,464,Néel,24.4,False
Y2Mn2O7,465,Curie,15.0,False
FeWO4,466,Néel,69.0,False
Ca2ScOsO6,467,Néel,69.0,False
Li2FeSiO4,468,Néel,25.0,False
EtOH,469,Néel,3.0,False
Sr2V3O9,470,Néel,5.0,False
"Fe,O",471,Néel,91.5,False
La2NiMnO6,472,Curie,272.05263157894734,False
LixSr2CuO2Br2,473,Curie,8.0,False
YBa2Cu4O8,474,Curie,80.5,False
FeOF,475,Néel,315.0,False
CeVO4,476,Néel,128.0,False
ZnCr2O4,477,Néel,52.8,False
NiRe2O6,478,Curie,24.0,False
LaONiAS,479,Curie,2.5,False
CuCrO2,480,Néel,43.333333333333336,False
Pb2FeReO6,481,Curie,420.0,False
MgO,482,Curie,538.9090909090909,False
