name,dum,type,temperature,flag,ref_num,parsed_form,chem_flags,C_flags,N_flags,O_flags,S_flags,V_flags,Cr_flags,Mn_flags,Fe_flags,Co_flags,Ni_flags,Cu_flags,As_flags,Se_flags,La_flags,Ce_flags,Pr_flags,Nd_flags,Pm_flags,Sm_flags,Eu_flags,Gd_flags,Tb_flags,Dy_flags,Ho_flags,Er_flags,Tm_flags,Yb_flags,Lu_flags,Hf_flags,Ta_flags
DyAl2,3870,Curie,59.4,False,5,"{'Dy': 1.0, 'Al': 2.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
GdNiIn,3869,Curie,85.0,False,2,"{'Gd': 1.0, 'Ni': 1.0, 'In': 1.0}",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
BiCoO3,3868,Néel,436.375,False,8,"{'Bi': 1.0, 'Co': 1.0, 'O': 3.0}",True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TbCoSi2,3867,Néel,16.0,False,2,"{'Tb': 1.0, 'Co': 1.0, 'Si': 2.0}",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
FeSi,3865,Curie,711.5,False,4,"{'Fe': 1.0, 'Si': 1.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CH2Cl2,3863,Curie,170.66666666666666,False,3,"{'C': 1.0, 'H': 2.0, 'Cl': 2.0}",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gd2O3,3862,Curie,292.0,False,2,"{'Gd': 2.0, 'O': 3.0}",True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Tb3Ru4Al12,3860,Néel,15.5,False,4,"{'Tb': 3.0, 'Ru': 4.0, 'Al': 12.0}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
ZnMgO,3859,Curie,80.0,False,1,"{'Zn': 1.0, 'Mg': 1.0, 'O': 1.0}",True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ce2Fe14B,3858,Curie,422.3333333333333,False,3,"{'Ce': 2.0, 'Fe': 14.0, 'B': 1.0}",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
